Category,Manufacturer,Plant,Product,Description,"Declared 
Unit",gwp.a1a2a3_mean,"GWP 
Uncertainty","Comparison 
GWP","EPD 
Link",Expiry,PCR,"PCR 
Link",source,geography,e.open_xpd_uuid,label
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Oceanside,CMU: LW,"Lightweight: A CMU with light weight aggregates. Configurations for site walls, architectural masonry with structural and veneer applications. This product is manufactured with pre-consumer recycled material. Minimum compressive strength: 2000 PSI. Dimensional properties as defined in ASTM C90.",1 m3,444.3,0.210475652,520.8479899,cqd.io/e/ec3d39586x,8/26/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Oceanside | CMU: LW
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Riverside,CMU: LW,"Lightweight: A CMU with light weight aggregates. Configurations for site walls, architectural masonry with structural and veneer applications. This product is manufactured with pre-consumer recycled material. Minimum compressive strength: 2000 PSI. Dimensional properties as defined in ASTM C90.",1 m3,440.7,0.210475652,516.6277496,cqd.io/e/ec31h1sh8j,8/26/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Riverside | CMU: LW
Masonry >> Concrete Unit Masonry,Jandris Block,Gardner,Light Weight CMU,"Light Weight CMU:                                                Declared Unit: 1 m3 of concrete formed into
  Light Weight Density CMU. Applications include general           manufactured concrete masonry product (CMU)
  construction, firewalls and structural configurations
                                                                    Global Warming Potential (kg CO2-eq)                                 430
                                                                    Acidification Potential (kg SO2-eq)                                  2.14
                                                                    Eutrophication Potential (kg N-eq)                                   0.44
                                                                    Smog Creation Potential (kg O3-eq)                                   31.3
                                                                    Ozone Depletion Potential (kg CFC-11-eq)                      3.26E-5",1 m3,430.3,0.288790582,531.7558708,cqd.io/e/ec32r131s3,3/2/2027,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Jandris Block | Gardner | Light Weight CMU
Masonry >> Concrete Unit Masonry,Saint-Gobain Leca Portugal SA,Saint-Gobain Leca Portugal SA Plants,Bloque Arliblock® Termoacústico 25,"The Arliblock® Termoacústico product it’s a solid block, with cameras on the outside used in enclosures, cladding, partitions of rooms and dividing walls.",1 m3,131.0947562,0.290344623,162.1708686,cqd.io/e/ec3mfru39e,8/22/2026,"EPD International AB: Sub-PCR-D Bricks, blocks, tiles, flagstone of clay and siliceous earths",cqd.io/p/ec357fu40q,Product EPDs,EU,,Saint-Gobain Leca Portugal SA | Saint-Gobain Leca Portugal SA Plants | Bloque Arliblock® Termoacústico 25
Masonry >> Concrete Unit Masonry,Saint-Gobain Leca Portugal SA,Saint-Gobain Leca Portugal SA Plants,Bloque Arliblock® Acústico 19,"The Arliblock® Acústico product it’s a solid block, with cameras on the outside used in enclosures, cladding, partitions of rooms and dividing walls.",1 m3,321.3176725,0.290344623,397.4862729,cqd.io/e/ec3c5ubmft,8/22/2026,EPD International AB: PCR 2012:01 Construction products and construction services (EN 15804:A1),cqd.io/p/ec3rwzf4at,Product EPDs,EU,,Saint-Gobain Leca Portugal SA | Saint-Gobain Leca Portugal SA Plants | Bloque Arliblock® Acústico 19
Masonry >> Concrete Unit Masonry,Saint-Gobain Leca Portugal SA,Saint-Gobain Leca Portugal SA Plants,Bloque Arliblock® Multicámara 20-50,"The Arliblock® Multicámara product it’s a solid block, with cameras on the outside used in enclosures, cladding, partitions of rooms and dividing walls.",1 m3,275.9862007,0.290344623,341.408941,cqd.io/e/ec3upr10pj,8/22/2026,"EPD International AB: Sub-PCR-D Bricks, blocks, tiles, flagstone of clay and siliceous earths",cqd.io/p/ec357fu40q,Product EPDs,EU,,Saint-Gobain Leca Portugal SA | Saint-Gobain Leca Portugal SA Plants | Bloque Arliblock® Multicámara 20-50
Masonry >> Concrete Unit Masonry,Saint-Gobain Leca Portugal SA,Saint-Gobain Leca Portugal SA Plants,Bloque Arliblock® Hueco 6-50,"The Arliblock® Hueco 6-50 product it’s a solid block, with cameras on the outside used in enclosures, cladding, partitions of rooms and dividing walls",1 m3,190.4904755,0.290344623,235.6463886,cqd.io/e/ec3umtmd81,8/22/2026,EPD International AB: PCR 2012:01 Construction products and construction services (EN 15804:A1),cqd.io/p/ec3rwzf4at,Product EPDs,EU,,Saint-Gobain Leca Portugal SA | Saint-Gobain Leca Portugal SA Plants | Bloque Arliblock® Hueco 6-50
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Tuxford Plant,Lightweight Concrete Masonry Units,"Lightweight Concrete Masonry Units:                                 Declared Unit: 1 m3 of concrete formed into
  Angelus Lightweight CMU are made with ASTM C33 and C331             manufactured concrete masonry product (CMU)
  aggregates. Available in 4, 6, and 8-inch heights, and widths
  from veneers to 16-inch wide structural, in Precision, Shotblast,    Global Warming Potential (kg CO2-eq)                                 244
  and Split Face textures. Dimensional properties as defined in        Acidification Potential (kg SO2-eq)                                  0.72
  ASTM C90.
                                                                       Eutrophication Potential (kg N-eq)                                   0.20
                                                                       Smog Creation Potential (kg O3-eq)                                   15.4
                                                                       Ozone Depletion Potential (kg CFC-11-eq)                      2.97E-6",1 m3,244,0.208326667,285.6155456,cqd.io/e/ec3tmmu4eh,12/21/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Tuxford Plant | Lightweight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Oxnard Plant,Lightweight High Stress Concrete Masonry Units,"Lightweight High Stress Concrete Masonry Units:                     Declared Unit: 1 m3 of concrete formed into
  Angelus Lightweight CMU are made with ASTM C33 and C331             manufactured concrete masonry product (CMU)
  aggregates. Available in 4, 6, and 8-inch heights, and widths
  from veneers to 16-inch wide structural, in Precision, Shotblast,    Global Warming Potential (kg CO2-eq)                                 311
  and Split Face textures. Dimensional properties as defined in        Acidification Potential (kg SO2-eq)                                  0.87
  ASTM C90.
                                                                       Eutrophication Potential (kg N-eq)                                   0.18
                                                                       Smog Creation Potential (kg O3-eq)                                   20.6
                                                                       Ozone Depletion Potential (kg CFC-11-eq)                      2.65E-6",1 m3,311,0.208326667,364.0427651,cqd.io/e/ec3e96tw2f,12/21/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Oxnard Plant | Lightweight High Stress Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Indio Plant,Lightweight Concrete Masonry Units,"Lightweight Concrete Masonry Units:                                 Declared Unit: 1 m3 of concrete formed into
  Angelus Lightweight CMU are made with ASTM C33 and C331             manufactured concrete masonry product (CMU)
  aggregates. Available in 4, 6, and 8-inch heights, and widths
  from veneers to 16-inch wide structural, in Precision, Shotblast,    Global Warming Potential (kg CO2-eq)                                 292
  and Split Face textures. Dimensional properties as defined in        Acidification Potential (kg SO2-eq)                                  0.96
  ASTM C90.
                                                                       Eutrophication Potential (kg N-eq)                                   0.16
                                                                       Smog Creation Potential (kg O3-eq)                                   25.6
                                                                       Ozone Depletion Potential (kg CFC-11-eq)                      3.25E-6",1 m3,292,0.208326667,341.8022103,cqd.io/e/ec30edpe2t,5/4/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Indio Plant | Lightweight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Tuxford Plant,Lightweight High Stress Concrete Masonry Units,"Lightweight High Stress Concrete Masonry Units:                     Declared Unit: 1 m3 of concrete formed into
  Angelus Lightweight CMU are made with ASTM C33 and C331             manufactured concrete masonry product (CMU)
  aggregates. Available in 4, 6, and 8-inch heights, and widths
  from veneers to 16-inch wide structural, in Precision, Shotblast,    Global Warming Potential (kg CO2-eq)                                 317
  and Split Face textures. Dimensional properties as defined in        Acidification Potential (kg SO2-eq)                                  0.89
  ASTM C90.
                                                                       Eutrophication Potential (kg N-eq)                                   0.22
                                                                       Smog Creation Potential (kg O3-eq)                                   19.5
                                                                       Ozone Depletion Potential (kg CFC-11-eq)                      3.22E-6",1 m3,317,0.208326667,371.0660981,cqd.io/e/ec3zu7xur0,12/21/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Tuxford Plant | Lightweight High Stress Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Oxnard Plant,Lightweight Concrete Masonry Units,"Lightweight Concrete Masonry Units:                                 Declared Unit: 1 m3 of concrete formed into
  Angelus Lightweight CMU are made with ASTM C33 and C331             manufactured concrete masonry product (CMU)
  aggregates. Available in 4, 6, and 8-inch heights, and widths
  from veneers to 16-inch wide structural, in Precision, Shotblast,    Global Warming Potential (kg CO2-eq)                                 279
  and Split Face textures. Dimensional properties as defined in        Acidification Potential (kg SO2-eq)                                  0.82
  ASTM C90.
                                                                       Eutrophication Potential (kg N-eq)                                   0.17
                                                                       Smog Creation Potential (kg O3-eq)                                   19.4
                                                                       Ozone Depletion Potential (kg CFC-11-eq)                      2.52E-6",1 m3,279,0.208326667,326.5849886,cqd.io/e/ec3pn42jpb,12/21/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Oxnard Plant | Lightweight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Orange Plant,Lightweight High Stress Concrete Masonry Units,"Lightweight High Stress Concrete Masonry Units:                     Declared Unit: 1 m3 of concrete formed into
  Angelus Lightweight CMU are made with ASTM C33 and C331             manufactured concrete masonry product (CMU)
  aggregates. Available in 4, 6, and 8-inch heights, and widths
  from veneers to 16-inch wide structural, in Precision, Shotblast,    Global Warming Potential (kg CO2-eq)                                 333
  and Split Face textures. Dimensional properties as defined in        Acidification Potential (kg SO2-eq)                                  1.02
  ASTM C90.
                                                                       Eutrophication Potential (kg N-eq)                                   0.19
                                                                       Smog Creation Potential (kg O3-eq)                                   25.3
                                                                       Ozone Depletion Potential (kg CFC-11-eq)                      3.91E-6",1 m3,333,0.208326667,389.7949864,cqd.io/e/ec3y342748,5/4/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Orange Plant | Lightweight High Stress Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Orange Plant,Lightweight Concrete Masonry Units,"Lightweight Concrete Masonry Units:                                 Declared Unit: 1 m3 of concrete formed into
  Angelus Lightweight CMU are made with ASTM C33 and C331             manufactured concrete masonry product (CMU)
  aggregates. Available in 4, 6, and 8-inch heights, and widths
  from veneers to 16-inch wide structural, in Precision, Shotblast,    Global Warming Potential (kg CO2-eq)                                 291
  and Split Face textures. Dimensional properties as defined in        Acidification Potential (kg SO2-eq)                                  0.96
  ASTM C90.
                                                                       Eutrophication Potential (kg N-eq)                                   0.19
                                                                       Smog Creation Potential (kg O3-eq)                                   23.5
                                                                       Ozone Depletion Potential (kg CFC-11-eq)                      3.64E-6",1 m3,291,0.208326667,340.6316548,cqd.io/e/ec3zedjq02,5/4/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Orange Plant | Lightweight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Gardena Plant,Lightweight Concrete Masonry Units,"Lightweight Concrete Masonry Units:                                 Declared Unit: 1 m3 of concrete formed into
  Angelus Lightweight CMU are made with ASTM C33 and C331             manufactured concrete masonry product (CMU)
  aggregates. Available in 4, 6, and 8-inch heights, and widths
  from veneers to 16-inch wide structural, in Precision, Shotblast,    Global Warming Potential (kg CO2-eq)                                 310
  and Split Face textures. Dimensional properties as defined in        Acidification Potential (kg SO2-eq)                                  1.01
  ASTM C90.
                                                                       Eutrophication Potential (kg N-eq)                                   0.17
                                                                       Smog Creation Potential (kg O3-eq)                                   25.4
                                                                       Ozone Depletion Potential (kg CFC-11-eq)                      3.52E-6",1 m3,310,0.208326667,362.8722095,cqd.io/e/ec3j69za44,5/4/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Gardena Plant | Lightweight Concrete Masonry Units
