providers_electricity_120V,providers_naturalgas,providers_trans_truck,"concrete, 20.7 Mpa - national avg, A1-A3 q_PC","concrete, 20.7 Mpa - national avg, A1-A3 msw",market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km","A5, construction d_vol","C2, transportation  dist",gwp,ap,ep,odp,pocp
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Permian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",211.58696436599593,0.0,0.10822147461625888,0.06023133114850589,0.06406547599576984,0.0,97.31675874759195,230.4764,0.48716084598860065,0.23361119568613956,1.6416963558265115e-05,9.338466407171982
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",192.6331023818847,0.0,0.12793321431161112,0.06421054352029777,0.0799828853717905,0.0,110.18474273500097,217.1553,0.4633017216974353,0.22289746793626128,1.6825899958148784e-05,8.792624969830607
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",242.86157037466683,0.0,0.1076544504930944,0.06643955349968504,0.07073240575417034,0.0,106.01511249478187,261.7485,0.5829178979413909,0.2648041835085014,1.816135936595698e-05,11.804406210100016
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",209.47938858475788,0.0,0.1088148532349602,0.07497785601529705,0.073977737620462,0.0,115.74175866245838,233.462,0.5323172951209487,0.2394059726015176,1.747591135247375e-05,10.757442613543166
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",268.24915960207863,0.0,0.1036524719459151,0.06555065234367838,0.07342286778008981,0.0,118.13806254747601,283.9469,0.6208401784262858,0.28595278239061456,1.908978758152617e-05,12.542128807552698
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Permian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",190.32541493288178,0.0,0.09730481035703918,0.07107373725669033,0.06819847118859286,0.0,111.23273775031828,213.4842,0.4572872413647589,0.21844140589059902,1.6199788690541317e-05,8.7084435405159
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",202.8611432990887,0.0,0.11960548542531152,0.06503467173371377,0.06782500221243488,0.0,121.92550492426744,223.8065,0.4741487998132194,0.2285022181874144,1.6562161578582625e-05,9.047386137191024
Electricity; at user; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Anadarko,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",233.60307904565934,0.0,0.1207613837942012,0.06003486647088466,0.06525112332013562,0.0,113.97127485843053,251.4607,0.5563021177579704,0.2549538862625452,1.739308775885793e-05,11.271104123007904
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",260.29876382201735,0.0,0.10629446816374423,0.06793466686022075,0.06541117685102496,0.0,104.2859897020339,268.8682,0.5839175560697212,0.26807601499010575,1.7026259845764232e-05,11.877640775658408
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",220.61946412779986,0.0,0.11218469050619986,0.06348202813528281,0.0670604635937674,0.0,112.84093797659735,239.3097,0.5375036702305319,0.24476247245390587,1.7051911937187982e-05,10.873013127284345
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",267.51221427447496,0.0,0.12472778254414735,0.07531942472672873,0.061925313163901805,0.0,88.27895046254464,275.2577,0.5643276808615052,0.2730752286076963,1.7441265559394076e-05,11.04556896814751
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",235.94744930113035,0.0,0.11123430478584952,0.06107389861902026,0.05635441678839844,0.0,97.55246062982094,244.2037,0.5086120809634348,0.24364453925402313,1.5519040922830888e-05,9.948003665900947
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",270.9953163700303,0.0,0.1088310494173083,0.06670109087943474,0.06461992945592954,0.0,100.01559798630407,283.9136,0.5852630031001633,0.28456640394531224,1.882942947242018e-05,11.352869518184974
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Arkla,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",207.90722674083307,0.0,0.11790650041949587,0.0640656720832013,0.0631942339401476,0.0,116.02042087742463,220.4901,0.46603962673160587,0.22215444889297328,1.4940709225518906e-05,9.069739650741223
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",164.84254829939567,0.0,0.11497528404034571,0.06639673388233497,0.06288918199821147,0.0,108.8063084765156,188.1274,0.4080806875046538,0.19565457609242057,1.4925849728427954e-05,7.735109993439413
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",234.11140059964234,0.0,0.12522065776675745,0.06934121434191802,0.07197230808007046,0.0,107.75076247345908,246.6985,0.5436026853778052,0.2483107844612039,1.6580058152675994e-05,11.027155904132872
Electricity; at user; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Arkla,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",254.94748960628704,0.0,0.11264219386953991,0.06561450304157428,0.07655690984299698,0.0,97.55382284736284,274.9979,0.5656365861634298,0.27380501812216723,1.8906920349556597e-05,10.878663866725587
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",210.4777237961513,0.0,0.10451614056031544,0.05949358047883855,0.06843665059326154,0.0,125.81565654977176,222.1227,0.46630721559264365,0.22383635095617765,1.4970812613064753e-05,9.035730457383652
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Green River,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",220.62028835027442,0.0,0.10786612895332295,0.0668912467019874,0.07221720905714944,0.0,97.5385121798532,232.6626,0.5157713181929328,0.23608374100185334,1.5838504439184108e-05,10.554184912029909
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",230.4876722767912,0.0,0.10696816008698001,0.06689991181806057,0.059212173001533905,0.0,121.49387476492092,241.2291,0.5302396880148306,0.24212666738311828,1.5736349975903296e-05,10.74255989338287
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",219.01333088863765,0.0,0.10470891400405834,0.06354824136876955,0.06936219454264844,0.0,93.53273036667112,237.6942,0.49925998641861075,0.24130296851937044,1.701479116524939e-05,9.553561531571969
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",230.33605591969032,0.0,0.12173898127045822,0.06748795261372369,0.06917409087418229,0.0,117.6423709507038,250.5856,0.5256303834885843,0.25255928303959146,1.781985897075473e-05,10.070737884216676
"Electricity; at user; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA",natural gas extraction and processing - Arkla,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",244.21490240726789,0.0,0.10414192296971402,0.06677856872385789,0.06372407474353392,0.0,123.47232997971798,250.1225,0.5169787728888877,0.25169045195137724,1.6182363351178303e-05,10.069030886040789
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Permian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",246.88999915802438,0.0,0.09272580334619215,0.06113966741082586,0.06849747062945966,0.0,117.25230665146876,261.1202,0.5412759235278533,0.2632362954071192,1.770731805604124e-05,10.512869119513528
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",268.4032330851782,0.0,0.10857923347622603,0.0649371190811753,0.06211951211806747,0.0,114.89445404428955,282.0538,0.6153856337595612,0.28367523367100106,1.8577676582357717e-05,12.451930658030689
Electricity; at user; consumption mix - Seattle City Light - BA,natural gas extraction and processing - East Texas,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",257.2291450967574,0.0,0.11698669943684575,0.06695768751057007,0.06109074853545377,0.0,97.36367679133764,262.6356,0.5686512777155383,0.2646591744598127,1.678870583299108e-05,11.545800224242
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - East Texas,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",264.406468191822,0.0,0.10071094299316322,0.06392783232300096,0.07425783720018157,0.0,123.90563041969435,279.585,0.576093851469752,0.28015067033773644,1.883871226724607e-05,11.150187509548466
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Anadarko,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",283.6396215353622,0.0,0.12669902207542277,0.06098132842410158,0.07138672837373754,0.0,103.10931512393424,298.6836,0.6127874897704516,0.29669306427760356,1.9706481578822946e-05,11.806982929742539
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",249.72697495604876,0.0,0.09174152090248308,0.07169614837868854,0.0616969011130175,0.0,101.12464736564928,258.4118,0.5337817577972331,0.25648292214498136,1.641591039414287e-05,10.379674740724937
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",233.62280758328492,0.0,0.11967762910740966,0.07207964254874216,0.0727506889397865,0.0,107.19929602086111,254.5918,0.5343180536376324,0.2569501877337209,1.8250348375961718e-05,10.264152348524364
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",222.78148749556118,0.0,0.11258125465721801,0.0628047521165424,0.06238512781913944,0.0,102.40662114970459,240.0846,0.5028632395399394,0.2431589696649176,1.6861470468247124e-05,9.64491941100109
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - South Oklahoma,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",200.15951574675205,0.0,0.12520476061033772,0.06853599764282298,0.06356950110889324,0.0,114.73808549221908,212.8673,0.4510568023667556,0.2165195029481377,1.4852020773374555e-05,8.775003162950954
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",250.7377966246903,0.0,0.10572324670982189,0.06863120003479581,0.0666828564752509,0.0,94.71810955189602,260.7411,0.5677674713432173,0.2603444054813299,1.6791987451522184e-05,11.496789021372024
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",221.72402755649804,0.0,0.09158581213524082,0.06482041733453142,0.06997667438176294,0.0,101.37111200526893,237.9886,0.49929460859890495,0.24315033760739585,1.702581656677483e-05,9.58672659015738
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - San Juan,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",259.47943497075244,0.0,0.12167382525951223,0.06146509333012816,0.061971046730474634,0.0,107.82582699770097,273.5863,0.5973463476839713,0.27617734910265757,1.8262527301897078e-05,12.111905969856098
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Strawn,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",229.73045132886176,0.0,0.10798446217528083,0.06734950785090985,0.059982782645159084,0.0,105.69209242689242,239.6679,0.5258262545385185,0.24153620554932234,1.5726307705543288e-05,10.647975564822966
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - East Texas,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",213.64506892378148,0.0,0.12613292886012864,0.06581507654075819,0.06874277935997186,0.0,117.7206655471679,234.0671,0.4932690554078042,0.23816325913678651,1.7113931081753686e-05,9.417868997007352
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",229.91645032499778,0.0,0.13658424484601278,0.0744319823513389,0.07471931972835943,0.0,113.29725596320903,244.4746,0.5421503867072309,0.24652406855634465,1.6814059029000413e-05,11.006682503903045
Electricity; at user; consumption mix - Turlock Irrigation District - BA,natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",243.76080948898084,0.0,0.11970907776749912,0.07443977906479528,0.06931892702085107,0.0,118.9966390352509,254.5012,0.5259819918289147,0.2541770664506274,1.679380697437781e-05,10.281918596559334
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",214.32998761335966,0.0,0.10438335342611632,0.06679941485408475,0.055905150439670315,0.0,121.43424898521313,225.0514,0.4971604277559826,0.2278952946799046,1.4966512273490365e-05,10.06343904399552
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - East Texas,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",204.86810257079577,0.0,0.11398043802358293,0.07203592445948823,0.05684354606958521,0.0,109.75327769410539,225.0238,0.476578742535556,0.2288810418258867,1.637322187597129e-05,9.1016913128006
Electricity; at user; consumption mix - El Paso Electric Company - BA,natural gas extraction and processing - East Texas,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",238.06576171480575,0.0,0.12360822827951094,0.06658847575830353,0.06028024228072403,0.0,138.26017068001497,255.9122,0.5658527626399724,0.2591583949793905,1.7616671756856418e-05,11.516857466942778
Electricity; at user; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Anadarko,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",248.44877398075806,0.0,0.11210157781153705,0.06790610220725515,0.06418603517911653,0.0,122.83469758861452,259.3492,0.5325796598428071,0.2561001624365812,1.6525039526768718e-05,10.36204907311721
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",240.97498927858896,0.0,0.10452632687545364,0.07626713548899068,0.060556716252581355,0.0,124.79959890350105,248.5977,0.5149027984334742,0.24995978074644512,1.6278750120972643e-05,10.023899374658226
Electricity; at user; consumption mix - ISO-NE - BA,natural gas extraction and processing - Gulf,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",220.87946032232873,0.0,0.0910391604320304,0.07497369910411118,0.06950267926799812,0.0,102.00707747120286,232.7028,0.4873641518114167,0.23438752812434435,1.5776365722826788e-05,9.507449631170497
Electricity; at user; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Gulf,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",211.78396800880057,0.0,0.08769670829977425,0.07158402192678114,0.06706974581273235,0.0,108.94889512427628,232.0947,0.48925193956772106,0.23570077351666277,1.681216116264501e-05,9.414051678007162
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Piceance,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",222.1979421210588,0.0,0.11277281456764965,0.06890527047521021,0.06546653134053165,0.0,128.88283673836702,235.269,0.5216558842985921,0.23685637318538957,1.5808206814981646e-05,10.577446973085186
Electricity; at user; consumption mix - Avista Corporation - BA,natural gas extraction and processing - Anadarko,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",189.7069655646458,0.0,0.12060618460449853,0.06702982612937099,0.06792670689333677,0.0,99.19277814384252,210.6602,0.4492103339306824,0.2177890948934225,1.6183083231740396e-05,8.572000122036464
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",220.40241987563428,0.0,0.11408043215816645,0.0654661995488161,0.07001525189853217,0.0,114.31992990022046,232.5103,0.4860661883834751,0.23347883801557925,1.566415237369734e-05,9.41525697835777
