elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 41.5 Mpa - national avg, A1-A3 total_cementitious","concrete, 41.5 Mpa - national avg, A1-A3 q_electricity","concrete, 41.5 Mpa - national avg, A1-A3 q_NG","concrete, 41.5 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 41.5 Mpa - national avg, A1-A3 plc_boolean","concrete, 41.5 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",472.52900102440105,4.82731283729415,0.6108702549728107,0.0,0.0,0.0,0.13562260004879012,0.12093887092095765,0.09880972914721994,0.06388289777262923,0.07095911456004163,0.09228996558439471,0.0,481.7124,1.3563519503467723,0.15396215134001362,1.4309590317636122e-05,16.34047146000298,483.1472,486.0479,482.2059
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",426.4237492299365,4.028807778303854,1.7749403708464428,0.2,0.0,0.0,0.10700259748912794,0.09333070496974075,0.11655953382990485,0.0670963386932846,0.0680152428380093,0.0840662767136614,0.0,363.4552,1.1105689154025695,0.14471898010547313,1.3118914492646853e-05,17.12491354533181,364.9081,367.1628,363.9395
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",464.45665817428664,4.197005228466346,-0.34711472981529534,0.2,1.0,0.0,0.17787107738884658,0.16006181962479474,0.10507412184326054,0.07040585508662908,0.06356556180397076,0.09189068644817201,0.0,357.0358,0.9569744710049378,0.13023703503497025,1.3117931994511544e-05,10.18655725158632,358.1109,360.2664,357.4318
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",362.49787239862485,3.0127615353948256,1.596895434901608,0.5,0.0,0.0,0.18562317171785253,0.14859975844879023,0.10955181005081922,0.06426349997816946,0.06856471294507352,0.07231400661951148,0.0,227.5102,0.7301921201489523,0.12235372968949168,1.144412634256211e-05,13.199596056199002,228.7398,230.2793,227.9493
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",426.61176305881855,4.298276218746675,0.4014471132642458,0.1,0.0,0.0,0.14458311599308984,0.11780806007758364,0.0880191171279008,0.061927555882750035,0.06679482244370485,0.08251776796514312,0.0,388.1614,1.0470787283351246,0.13729631257996966,1.2715154310286265e-05,12.841108943083388,389.3964,391.691,388.6074
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",461.8907770660845,4.086523399978989,1.7460435775783134,0.3,0.0,0.0,0.17042071799736613,0.1457981989228375,0.10502089628343089,0.05077289233555934,0.07007311080486524,0.10494725885493497,0.0,381.7437,1.2446743472959179,0.14418705471549198,1.3150478038199247e-05,18.5262772448983,383.2591,385.8391,382.2539
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",492.61177391343546,4.334003559801275,0.7784636685491579,0.4,0.0,0.0,0.1311415666402475,0.12061623149249848,0.09872232779010107,0.06603222166053685,0.06129264498672128,0.09371995877102302,0.0,326.3665,0.9737963879348039,0.13343054493218817,1.2901144700575333e-05,13.114392377282362,327.5809,329.6228,326.7781
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",489.2870905807257,4.052177157181884,0.9694353316094496,0.2,0.0,0.0,0.1570736862923665,0.16879050157253356,0.12090343774579636,0.06111202806463496,0.06725436121225939,0.09686688836516925,0.0,427.0393,1.2678240342407725,0.1495461270029983,1.4269848317499389e-05,16.631271299350022,428.4852,431.1865,427.5371
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",397.86688189054865,4.4252084949157195,1.6223334028511611,0.3,0.0,0.0,0.14424742804028662,0.13403280718670826,0.1184550343780987,0.06142541103082432,0.06980017688877023,0.07878084326364498,0.0,310.5269,0.9471433352556896,0.13520484298077406,1.2415901896237769e-05,15.310899480219756,311.8875,313.8672,311.0021
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",524.5379512626254,4.205942103182126,0.677565880000103,0.5,0.0,0.0,0.14771047507088164,0.17680683054865298,0.1156602802403141,0.06390852899439868,0.07361641614947828,0.11341206663564225,0.0,318.564,1.0104872953888049,0.13524019469280202,1.3938409896112537e-05,13.20342997301584,319.7772,321.8843,318.963
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",423.30920703372385,4.503370868029866,0.44779907148815673,0.0,0.0,0.0,0.10348305906192026,0.1478617553644925,0.10209198867948008,0.07133445146051064,0.06756011907373638,0.10371696310690257,0.0,438.4168,1.2838358450671317,0.13585241962625516,1.2127110211915995e-05,14.77025766561889,439.76,442.7377,438.9219
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",433.5510656315799,3.5217562703176366,0.750660659752036,0.3,0.0,0.0,0.0897667092820093,0.18312939657749694,0.12491160519131587,0.07263667612013999,0.06103624550858148,0.09231230988318953,0.0,320.1934,0.9439890275716616,0.12368844717191693,1.1338916065027752e-05,12.484023697595887,321.3806,323.513,320.6295
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",415.3714613627094,3.168363157639429,0.48096828094392235,0.0,0.0,0.0,0.166001350061984,0.121471291919174,0.10000763394202507,0.07070654083359525,0.07693945434004164,0.08738531646502168,0.0,429.6957,1.1774084231475463,0.13615323019362452,1.2385086933735612e-05,14.458555027793993,431.0863,433.953,430.2629
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",391.26941216457226,4.19323638638093,1.3934910496496045,0.3,0.0,0.0,0.13851644239533667,0.18024460412696958,0.11155500777344944,0.0668661565664381,0.06135142103342177,0.0662180684077318,0.0,288.2183,0.8238394841481947,0.12106967746852722,1.0430904776501941e-05,13.525205910264786,289.4869,291.3683,288.7065
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",468.2976304231253,4.309667146664397,1.613313866838405,0.3,0.0,0.0,0.1384563011297938,0.14712602385382614,0.11157785732098964,0.05207628051651858,0.07447067612144548,0.08108387739973884,0.0,352.6656,1.0551664570144161,0.13271635127786482,1.1601272822439381e-05,16.401172775660886,354.1128,356.5083,353.2137
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",432.95015238928676,4.177888922077039,1.5617036141487979,0.0,1.0,0.0,0.13930365894729335,0.13973316647251596,0.09051274647206484,0.06864638448707726,0.05359529486725316,0.07739823263337516,0.0,404.3755,1.1642430311306704,0.13731053988704486,1.1400222953947972e-05,17.61074002493605,405.9111,408.6057,404.9756
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",474.0145898834984,4.487163362885749,1.1614085451111982,0.4,0.0,0.0,0.1729199705206263,0.13499704182374014,0.09456520156101605,0.07195393948022742,0.0712011878140942,0.09168448883101368,0.0,328.1913,0.997679511625056,0.128113125483842,1.1977392808241164e-05,14.671648411375312,329.5404,331.8603,328.7102
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",452.99521865099314,4.361986118012825,0.7281314815153005,0.3,0.0,0.0,0.11935485459483337,0.11658373910589359,0.11871982004901213,0.06802349325562133,0.056303133535437824,0.09392186804740486,0.0,339.9223,0.9998550986048049,0.1251503759958378,1.1371155530553922e-05,13.118967891698372,341.1588,343.4651,340.3899
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",385.99530987770163,3.875373475432713,0.3671216450585218,0.1,0.0,0.0,0.11806243731251934,0.1396791501339076,0.11166597894070573,0.05977109738511009,0.06452358101252931,0.10163250744962693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",456.0601357955008,4.163748146132008,0.7244526091357038,0.5,0.0,0.0,0.14990800262409587,0.13068619036356777,0.11043581481775258,0.06220726403699488,0.07758882124608941,0.09469533843348077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
