elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.07293993413003372,0.18969784205782966,0.05671919619750271,0.04049829955501217,0.8207277301248842,0.8502461691845646,0.037601768748966154,0.600282115874179,0.010415562942848544,0.5133735655276327,0.11954139566235411,9.71905125935699,1.312007735956709,0.009877029949663396,0.03128933493903352,0.14520031031431366,0.06949828294575544,0.056434503826704695,0.05303046492846459,1.253752822151615,0.13902801400178136,0.3229160465418243,1.0971,0.0,0.0,0.001553678053935984,0.00013629515987016114,1.578055489814753e-08,0.050256450302942374,1.1101,1.1231,1.103,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.04030990827048332,0.16433055932291823,0.041625496015426415,0.03365997589355146,0.8110640547841067,0.8657362634578849,0.03132074308967981,0.3963395477522168,0.010296614443864713,0.4991280725854269,0.11776139040811108,10.269732665633715,1.3381914527409449,0.01000591984617935,0.0271739630746468,0.17670647073185802,0.1364170083183541,0.04260710649577852,0.0807153135302712,1.3279266709613509,0.12211160104422676,0.4164678784339263,0.9185,0.0,0.0,0.0012552376114502851,0.00011610929591721449,1.46439127986128e-08,0.03880548636898997,0.9287,0.9389,0.9231,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.05610352647322326,0.20759117803986135,0.0525809218848248,0.035541077986578705,0.9013693649338191,0.8073867309992421,0.02185368908696208,0.4506057040923344,0.009520729052111732,0.5296257446368346,0.11428290938493943,9.942055404023046,1.3438836186046046,0.009627942629502236,0.02422094417430765,0.1314690695952234,0.09670968792915217,0.0750301335986981,0.09942363771881096,1.0324273100054833,0.12292964405944967,0.3364623036069199,1.0542,0.0,0.0,0.0014791943103941046,0.00013151438395528722,1.5646331725897822e-08,0.045195139654096106,1.0661,1.0781,1.0596,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.05890390266950381,0.2032010416201405,0.04420981326676545,0.03883517732003544,0.9735339197018019,0.9071900179763883,0.011641466072279637,0.5380433963677016,0.010136432896737258,0.5116077001726367,0.12587263724037825,9.435020264405894,1.2908623542208553,0.010470299580211624,0.03373862137260728,0.0690277726418691,0.08888274028824596,0.07147434187538479,0.06072721706759633,1.2619630705691538,0.12451167905233584,0.5048093640270559,0.9548,0.0,0.0,0.0014549990048554542,0.00012780020912763875,1.5221559057291274e-08,0.04685082680581295,0.9669,0.979,0.9603,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.029472698104087883,0.2102969951719563,0.05216209451545465,0.038481158142614,0.7780432855418783,0.7913289149676451,0.019055842203684156,0.4224497651798574,0.010216267344740196,0.4829725582924027,0.1188020828434122,10.03677814270379,1.3160139980097052,0.010339426395773208,0.026716297158169144,0.13889268975101512,0.06696249571649782,0.07494396670190963,0.08050790961568677,1.0481780237182337,0.11780865813427374,0.3038334167244417,1.0325,0.0,0.0,0.0014297427743255062,0.0001275371053720044,1.5336885934476427e-08,0.04299955350349652,1.0438,1.0552,1.0376,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.0738797885946359,0.18563267296776054,0.04454767591804444,0.036419454105915586,0.9895839783247465,0.84744194291246,0.04439255955502863,0.5175862220855058,0.009523935992230044,0.48633456788669777,0.12263352752876502,9.791662850676264,1.3422306530940438,0.009726760599462763,0.022075778545497977,0.17454875136660103,0.059594432602821594,0.09091006311667327,0.08846399087517604,1.0936770919391392,0.10517132712014501,0.35357920224828115,1.034,0.0,0.0,0.0014938493813974182,0.0001327948205776662,1.5630581436908612e-08,0.04736957657905779,1.0464,1.0589,1.0397,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.0336693807348848,0.17182027279222023,0.05975781672529433,0.0406870598930137,0.8597210580611079,0.8635052501015039,0.017098886736752274,0.4961058730747217,0.01011086403052491,0.5269265757056851,0.12144864403026367,9.68681172467827,1.2478234084124327,0.009975083952398869,0.03255270332937525,0.028107046515394175,0.05100236174731544,0.06893240085380896,0.05598371279029778,1.285751888461636,0.11599502307249387,0.3362602531248821,0.9759,0.0,0.0,0.0013673833245278228,0.00012287068557359252,1.4835687142496526e-08,0.043399857403865295,0.9873,0.9986,0.9811,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.043740200683832144,0.2054383340601695,0.047349457110924344,0.034300450057119965,0.8206094644364716,0.8848343697059216,0.010728420408267967,0.4730396743655908,0.01029643592232523,0.48557555261306823,0.11571185012600872,9.746361715895286,1.2664355724318312,0.009667644131291063,0.038703950253779235,0.13758309494222432,0.09996085891041548,0.095942491240979,0.07503769029309745,1.146683656953209,0.13695309578659962,0.30160750202446285,0.9098,0.0,0.0,0.0013819226601384472,0.0001229822839402377,1.50149616803807e-08,0.0433925629409565,0.921,0.9322,0.9148,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.0769038894978859,0.21509527076866816,0.05559802297315835,0.038891224724757145,0.9494478206247178,0.871805019026867,0.04382386895786893,0.6563028383653213,0.010218820489786461,0.4987467000449261,0.11919987356356404,9.79990500654411,1.2817861563406732,0.009783906518063757,0.04674391784827366,0.1635743713176297,0.10646441439289345,0.07114663738742716,0.07052542971604461,1.0907121006850558,0.13583755408055573,0.2788923642688702,1.0814,0.0,0.0,0.0016527591726755724,0.00014182070419460255,1.601819451637082e-08,0.054008464288358,1.0953,1.1092,1.0878,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Nevada Power Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Southern Appalachia, BIT, Surface",0.04659112348693163,0.18337317187057336,0.05940999476091942,0.039369986907886116,0.8053400045925135,0.8376017101430666,0.01838796779010797,0.6209390289875208,0.009884190568004596,0.4845072006467202,0.11847702104683355,9.71942015138404,1.3155697876173258,0.010116643276439312,0.034808974885688855,0.14750704538833218,0.14578365110903563,0.10555492769452603,0.08447542783551083,0.9228703954268602,0.13564820204237163,0.30492475800814617,1.0436,0.0,0.0,0.0015455430948916062,0.00013506210685991304,1.5506179316732622e-08,0.05006846798120155,1.0565,1.0695,1.0495,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.06085416034276164,0.22081223317271917,0.04697632978138303,0.03453393606805055,0.8786480259407439,0.8400960369959455,0.04992077051706402,0.5378260137063218,0.009916511434717732,0.515171131017753,0.1152553690508284,10.302722513581797,1.3282836126718365,0.010337637759228753,0.0482248190021345,0.12012069248016644,0.05884997002396926,0.09434456965227123,0.05473194952841777,1.2049348336596697,0.10856390754821629,0.5093142587671919,1.3385,0.0,0.0,0.002136135470849229,0.00016465623575428974,2.210608842336643e-08,0.054999461574331665,1.3552,1.3733,1.3465,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.04355395558700428,0.16708125951301778,0.05036107393130503,0.03744725215576204,0.8993805268198862,0.8052914202978856,0.022824930507047834,0.5614537827314974,0.009651500107292365,0.5280611091042123,0.12353589089261283,9.893151885040549,1.3517976458773846,0.009885531489225434,0.030363464932964452,0.06264103659418367,0.14128436404300815,0.05002538811795143,0.08792243213066898,1.384393942189144,0.12217109601551437,0.27880964785997003,1.3756,0.0,0.0,0.002108168293438628,0.0001636332677033079,2.1958434018403425e-08,0.05438471722388152,1.3932,1.4123,1.3841,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.06650610418792159,0.20521675642258644,0.047871381517050136,0.0380098341629411,0.7809674540433731,0.8973799761952869,0.04940009319195112,0.5638300180192839,0.009666324327867584,0.5140702972500572,0.12440621967371192,10.227327867297255,1.3605146285828296,0.009832086513271034,0.04412178911001855,0.11095855168188772,0.06336216864639985,0.08023912538116229,0.1016711191404649,1.2256187969140013,0.11922667220682982,0.358832463068133,1.1938,0.0,0.0,0.0020842337368703165,0.00016025954317800707,2.1933931513316793e-08,0.05413907991663922,1.2082,1.2237,1.2006,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.06677460440545128,0.2033524368309672,0.050380715981866914,0.04343883950255793,0.9401292260460935,0.8820128967880667,0.034976364762887,0.5903526059418523,0.010213115485777318,0.5290524199487122,0.12564739009150314,10.030633011775391,1.2406721774110632,0.009518522158909738,0.03235385354297855,0.1514034028948097,0.08856849616423142,0.03949858176049625,0.08891008604540318,1.4441547753123947,0.14702347828675863,0.3090172328507604,1.2878,0.0,0.0,0.002172903860940345,0.0001660955903842763,2.2356420838929218e-08,0.056677682377466725,1.3033,1.32,1.2951,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.06494452219701484,0.1759145862644374,0.057285130820383647,0.03478463777912688,1.013054493243444,0.8107043691200901,0.026870333011331612,0.4931867133861555,0.009584926762067377,0.5222313110040782,0.12563579769068192,10.038406688547898,1.3347066092505542,0.01021465766071514,0.030431389260617104,0.17887946474349997,0.09819460169051616,0.04441498257403845,0.06360743735614216,1.2650955281707723,0.13286312877066495,0.3242389915267626,1.3359,0.0,0.0,0.0020352105795785787,0.00016039021849355528,2.1584683065291794e-08,0.0524142054524665,1.3533,1.3721,1.3443,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.0775548509893184,0.18265008650806872,0.05526476429198673,0.03318590710883867,0.7796971361223048,0.8026065871354872,0.035418273248043496,0.5026401417327581,0.010385951189422964,0.506502175313788,0.11427298887143016,9.529790745126551,1.2395596513256566,0.009793179372436112,0.030380422623619282,0.25272119018538847,0.14273700494853486,0.07463290879093556,0.1108392888918514,0.8730271385439091,0.13387922317307943,0.29535194909551193,1.2777,0.0,0.0,0.002078473222704648,0.00016309111912042373,2.2139822534820618e-08,0.053085707856558896,1.2955,1.3148,1.2864,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.03322095321294632,0.20047231189734724,0.046371657742310696,0.036210520813379256,0.8825614515354772,0.8023308737805035,0.03903280049575558,0.5082736831176091,0.009527212124328017,0.5265546770299326,0.12207895805942767,10.112246538169751,1.245080405599618,0.010222995274560314,0.017749428052610566,0.07629615035126107,0.1134525998419546,0.04900688118604414,0.10198304827515509,0.9953441528214063,0.1312580649441839,0.29070681296961987,1.272,0.0,0.0,0.0020619684061618532,0.00016035700958307213,2.147792400275597e-08,0.05273056539726314,1.2895,1.3085,1.2804,mca
